Serial No.,Image Name,Class,Location,Width,Height,Size (bytes)
42,Banana_20.jpg,Banana,/Fruits_Plant_Leaf/Banana/Banana_20.jpg,250,240,22238
43,Banana_9.jpg,Banana,/Fruits_Plant_Leaf/Banana/Banana_9.jpg,198,195,15760
44,Banana_14.jpg,Banana,/Fruits_Plant_Leaf/Banana/Banana_14.jpg,440,430,24716
45,Banana_22.jpg,Banana,/Fruits_Plant_Leaf/Banana/Banana_22.jpg,197,183,12277
46,Banana_15.jpg,Banana,/Fruits_Plant_Leaf/Banana/Banana_15.jpg,240,240,19646
47,Banana_27.jpg,Banana,/Fruits_Plant_Leaf/Banana/Banana_27.jpg,240,240,23088
48,Grape_11.jpg,Grape,/Fruits_Plant_Leaf/Grape/Grape_11.jpg,194,191,23232
49,Grape_16.jpg,Grape,/Fruits_Plant_Leaf/Grape/Grape_16.jpg,191,183,14886
50,Grape_19.jpg,Grape,/Fruits_Plant_Leaf/Grape/Grape_19.jpg,191,194,21011
51,Grape_26.jpg,Grape,/Fruits_Plant_Leaf/Grape/Grape_26.jpg,201,193,19347
52,Grape_8.jpg,Grape,/Fruits_Plant_Leaf/Grape/Grape_8.jpg,231,218,10309
53,Grape_29.jpg,Grape,/Fruits_Plant_Leaf/Grape/Grape_29.jpg,225,225,11802
54,Grape_9.jpg,Grape,/Fruits_Plant_Leaf/Grape/Grape_9.jpg,189,184,17860
55,Grape_30.jpg,Grape,/Fruits_Plant_Leaf/Grape/Grape_30.jpg,275,271,19911
56,Grape_31.jpg,Grape,/Fruits_Plant_Leaf/Grape/Grape_31.jpg,221,228,6373
57,Grape_23.jpg,Grape,/Fruits_Plant_Leaf/Grape/Grape_23.jpg,226,223,7925
58,Grape_1.jpg,Grape,/Fruits_Plant_Leaf/Grape/Grape_1.jpg,227,222,8639
59,Grape_27.jpg,Grape,/Fruits_Plant_Leaf/Grape/Grape_27.jpg,174,168,18704
60,Grape_6.jpg,Grape,/Fruits_Plant_Leaf/Grape/Grape_6.jpg,229,217,15582
61,Grape_2.jpg,Grape,/Fruits_Plant_Leaf/Grape/Grape_2.jpg,225,225,7984
62,Grape_20.jpg,Grape,/Fruits_Plant_Leaf/Grape/Grape_20.jpg,204,183,21910
63,Grape_13.jpg,Grape,/Fruits_Plant_Leaf/Grape/Grape_13.jpg,222,227,9741
64,Grape_7.jpg,Grape,/Fruits_Plant_Leaf/Grape/Grape_7.jpg,183,171,7692
65,Grape_10.jpg,Grape,/Fruits_Plant_Leaf/Grape/Grape_10.jpg,203,194,24495
66,Grape_3.jpg,Grape,/Fruits_Plant_Leaf/Grape/Grape_3.jpg,194,183,12203
67,Grape_33.jpg,Grape,/Fruits_Plant_Leaf/Grape/Grape_33.jpg,201,183,12004
68,Grape_15.jpg,Grape,/Fruits_Plant_Leaf/Grape/Grape_15.jpg,225,225,8228
69,Grape_25.jpg,Grape,/Fruits_Plant_Leaf/Grape/Grape_25.jpg,179,183,11510
70,Grape_28.jpg,Grape,/Fruits_Plant_Leaf/Grape/Grape_28.jpg,225,225,4812
71,Grape_5.jpg,Grape,/Fruits_Plant_Leaf/Grape/Grape_5.jpg,194,196,20591
72,Grape_18.jpg,Grape,/Fruits_Plant_Leaf/Grape/Grape_18.jpg,195,199,12301
73,Grape_24.jpg,Grape,/Fruits_Plant_Leaf/Grape/Grape_24.jpg,227,222,7943
74,Grape_21.jpg,Grape,/Fruits_Plant_Leaf/Grape/Grape_21.jpg,217,224,21042
75,Grape_17.jpg,Grape,/Fruits_Plant_Leaf/Grape/Grape_17.jpg,194,196,19685
76,Grape_22.jpg,Grape,/Fruits_Plant_Leaf/Grape/Grape_22.jpg,194,197,17660
77,Grape_14.jpg,Grape,/Fruits_Plant_Leaf/Grape/Grape_14.jpg,191,183,23749
78,Grape_12.jpg,Grape,/Fruits_Plant_Leaf/Grape/Grape_12.jpg,199,183,16447
79,Grape_32.jpg,Grape,/Fruits_Plant_Leaf/Grape/Grape_32.jpg,190,194,17108
80,Grape_4.jpg,Grape,/Fruits_Plant_Leaf/Grape/Grape_4.jpg,195,194,16330
81,Guava_22.jpg,Guava,/Fruits_Plant_Leaf/Guava/Guava_22.jpg,183,168,17912
82,Guava_5.jpg,Guava,/Fruits_Plant_Leaf/Guava/Guava_5.jpg,248,233,14067
83,Guava_3.jpg,Guava,/Fruits_Plant_Leaf/Guava/Guava_3.jpg,218,196,25280
84,Guava_7.jpg,Guava,/Fruits_Plant_Leaf/Guava/Guava_7.jpg,203,210,21879
85,Guava_19.jpg,Guava,/Fruits_Plant_Leaf/Guava/Guava_19.jpg,199,206,21310
86,Guava_13.jpg,Guava,/Fruits_Plant_Leaf/Guava/Guava_13.jpg,250,250,12286
87,Guava_15.jpg,Guava,/Fruits_Plant_Leaf/Guava/Guava_15.jpg,275,260,10689
88,Guava_11.jpg,Guava,/Fruits_Plant_Leaf/Guava/Guava_11.jpg,300,291,18855
89,Guava_2.jpg,Guava,/Fruits_Plant_Leaf/Guava/Guava_2.jpg,225,225,5025
90,Guava_23.jpg,Guava,/Fruits_Plant_Leaf/Guava/Guava_23.jpg,200,168,14311
91,Guava_4.jpg,Guava,/Fruits_Plant_Leaf/Guava/Guava_4.jpg,230,219,20948
92,Guava_12.jpg,Guava,/Fruits_Plant_Leaf/Guava/Guava_12.jpg,265,250,13413
93,Guava_18.jpg,Guava,/Fruits_Plant_Leaf/Guava/Guava_18.jpg,252,240,10245
94,Guava_10.jpg,Guava,/Fruits_Plant_Leaf/Guava/Guava_10.jpg,199,193,18500
95,Guava_14.jpg,Guava,/Fruits_Plant_Leaf/Guava/Guava_14.jpg,188,171,11249
96,Guava_1.jpg,Guava,/Fruits_Plant_Leaf/Guava/Guava_1.jpg,201,197,17400
97,Guava_9.jpg,Guava,/Fruits_Plant_Leaf/Guava/Guava_9.jpg,225,225,6562
98,Guava_24.jpg,Guava,/Fruits_Plant_Leaf/Guava/Guava_24.jpg,293,292,16490
99,Guava_17.jpg,Guava,/Fruits_Plant_Leaf/Guava/Guava_17.jpg,168,190,10417
100,Guava_25.jpg,Guava,/Fruits_Plant_Leaf/Guava/Guava_25.jpg,199,168,11609
101,Guava_21.jpg,Guava,/Fruits_Plant_Leaf/Guava/Guava_21.jpg,202,194,16542
102,Guava_16.jpg,Guava,/Fruits_Plant_Leaf/Guava/Guava_16.jpg,166,179,14262
103,Guava_26.jpg,Guava,/Fruits_Plant_Leaf/Guava/Guava_26.jpg,197,194,20690
104,Guava_20.jpg,Guava,/Fruits_Plant_Leaf/Guava/Guava_20.jpg,207,183,10703
105,Guava_8.jpg,Guava,/Fruits_Plant_Leaf/Guava/Guava_8.jpg,225,225,10355
106,Guava_6.jpg,Guava,/Fruits_Plant_Leaf/Guava/Guava_6.jpg,312,306,15124
107,Jujube_24.jpg,Jujube,/Fruits_Plant_Leaf/Jujube/Jujube_24.jpg,177,177,12280
108,Jujube_5.jpg,Jujube,/Fruits_Plant_Leaf/Jujube/Jujube_5.jpg,216,212,8989
109,Jujube_14.jpg,Jujube,/Fruits_Plant_Leaf/Jujube/Jujube_14.jpg,196,183,15220
110,Jujube_28.jpg,Jujube,/Fruits_Plant_Leaf/Jujube/Jujube_28.jpg,190,191,16211
111,Jujube_32.jpg,Jujube,/Fruits_Plant_Leaf/Jujube/Jujube_32.jpg,194,189,14633
112,Jujube_19.jpg,Jujube,/Fruits_Plant_Leaf/Jujube/Jujube_19.jpg,157,152,5082
113,Jujube_2.jpg,Jujube,/Fruits_Plant_Leaf/Jujube/Jujube_2.jpg,225,225,10161
114,Jujube_27.jpg,Jujube,/Fruits_Plant_Leaf/Jujube/Jujube_27.jpg,160,150,12934
115,Jujube_18.jpg,Jujube,/Fruits_Plant_Leaf/Jujube/Jujube_18.jpg,207,194,25857
116,Jujube_17.jpg,Jujube,/Fruits_Plant_Leaf/Jujube/Jujube_17.jpg,231,250,11991
117,Jujube_15.jpg,Jujube,/Fruits_Plant_Leaf/Jujube/Jujube_15.jpg,216,217,8559
118,Jujube_29.jpg,Jujube,/Fruits_Plant_Leaf/Jujube/Jujube_29.jpg,198,194,15794
119,Jujube_1.jpg,Jujube,/Fruits_Plant_Leaf/Jujube/Jujube_1.jpg,218,183,13139
120,Jujube_33.jpg,Jujube,/Fruits_Plant_Leaf/Jujube/Jujube_33.jpg,194,193,23305
121,Jujube_3.jpg,Jujube,/Fruits_Plant_Leaf/Jujube/Jujube_3.jpg,260,259,13261
122,Jujube_31.jpg,Jujube,/Fruits_Plant_Leaf/Jujube/Jujube_31.jpg,225,225,14015
123,Jujube_7.jpg,Jujube,/Fruits_Plant_Leaf/Jujube/Jujube_7.jpg,216,226,13169
124,Jujube_30.jpg,Jujube,/Fruits_Plant_Leaf/Jujube/Jujube_30.jpg,194,195,19635
125,Jujube_9.jpg,Jujube,/Fruits_Plant_Leaf/Jujube/Jujube_9.jpg,187,202,12378
126,Jujube_26.jpg,Jujube,/Fruits_Plant_Leaf/Jujube/Jujube_26.jpg,199,186,17000
127,Jujube_16.jpg,Jujube,/Fruits_Plant_Leaf/Jujube/Jujube_16.jpg,189,179,12019
128,Jujube_20.jpg,Jujube,/Fruits_Plant_Leaf/Jujube/Jujube_20.jpg,194,183,15709
129,Jujube_22.jpg,Jujube,/Fruits_Plant_Leaf/Jujube/Jujube_22.jpg,199,189,19505
130,Jujube_13.jpg,Jujube,/Fruits_Plant_Leaf/Jujube/Jujube_13.jpg,209,188,29076
131,Jujube_12.jpg,Jujube,/Fruits_Plant_Leaf/Jujube/Jujube_12.jpg,184,159,13467
132,Jujube_10.jpg,Jujube,/Fruits_Plant_Leaf/Jujube/Jujube_10.jpg,262,239,12824
133,Jujube_8.jpg,Jujube,/Fruits_Plant_Leaf/Jujube/Jujube_8.jpg,242,246,17173
134,Jujube_11.jpg,Jujube,/Fruits_Plant_Leaf/Jujube/Jujube_11.jpg,200,194,19999
135,Jujube_6.jpg,Jujube,/Fruits_Plant_Leaf/Jujube/Jujube_6.jpg,155,207,13036
136,Jujube_23.jpg,Jujube,/Fruits_Plant_Leaf/Jujube/Jujube_23.jpg,216,225,8262
137,Jujube_4.jpg,Jujube,/Fruits_Plant_Leaf/Jujube/Jujube_4.jpg,200,177,14293
138,Jujube_21.jpg,Jujube,/Fruits_Plant_Leaf/Jujube/Jujube_21.jpg,204,194,15025
139,Jujube_25.jpg,Jujube,/Fruits_Plant_Leaf/Jujube/Jujube_25.jpg,200,194,19755
140,Mango_10.jpg,Mango,/Fruits_Plant_Leaf/Mango/Mango_10.jpg,212,224,23428
141,Mango_24.jpg,Mango,/Fruits_Plant_Leaf/Mango/Mango_24.jpg,225,225,8469
142,Mango_50.jpg,Mango,/Fruits_Plant_Leaf/Mango/Mango_50.jpg,214,218,27999
143,Mango_28.jpg,Mango,/Fruits_Plant_Leaf/Mango/Mango_28.jpg,194,176,21180
144,Mango_1.jpg,Mango,/Fruits_Plant_Leaf/Mango/Mango_1.jpg,225,225,7331
145,Mango_19.jpg,Mango,/Fruits_Plant_Leaf/Mango/Mango_19.jpg,196,194,19426
146,Mango_7.jpg,Mango,/Fruits_Plant_Leaf/Mango/Mango_7.jpg,191,168,17993
147,Mango_42.jpg,Mango,/Fruits_Plant_Leaf/Mango/Mango_42.jpg,263,258,11115
148,Mango_53.jpg,Mango,/Fruits_Plant_Leaf/Mango/Mango_53.jpg,225,225,9197
149,Mango_22.jpg,Mango,/Fruits_Plant_Leaf/Mango/Mango_22.jpg,211,180,23511
150,Mango_4.jpg,Mango,/Fruits_Plant_Leaf/Mango/Mango_4.jpg,183,191,21273
151,Mango_30.jpg,Mango,/Fruits_Plant_Leaf/Mango/Mango_30.jpg,225,225,4372
152,Mango_6.jpg,Mango,/Fruits_Plant_Leaf/Mango/Mango_6.jpg,236,215,11743
153,Mango_32.jpg,Mango,/Fruits_Plant_Leaf/Mango/Mango_32.jpg,213,194,25101
154,Mango_51.jpg,Mango,/Fruits_Plant_Leaf/Mango/Mango_51.jpg,194,196,21308
155,Mango_9.jpg,Mango,/Fruits_Plant_Leaf/Mango/Mango_9.jpg,318,285,10611
156,Mango_21.jpg,Mango,/Fruits_Plant_Leaf/Mango/Mango_21.jpg,225,225,11671
157,Mango_34.jpg,Mango,/Fruits_Plant_Leaf/Mango/Mango_34.jpg,208,194,13047
158,Mango_39.jpg,Mango,/Fruits_Plant_Leaf/Mango/Mango_39.jpg,193,184,18985
159,Mango_8.jpg,Mango,/Fruits_Plant_Leaf/Mango/Mango_8.jpg,187,183,20412
160,Mango_25.jpg,Mango,/Fruits_Plant_Leaf/Mango/Mango_25.jpg,225,225,12806
161,Mango_31.jpg,Mango,/Fruits_Plant_Leaf/Mango/Mango_31.jpg,260,258,11039
162,Mango_16.jpg,Mango,/Fruits_Plant_Leaf/Mango/Mango_16.jpg,203,183,21005
163,Mango_13.jpg,Mango,/Fruits_Plant_Leaf/Mango/Mango_13.jpg,168,196,13548
164,Mango_26.jpg,Mango,/Fruits_Plant_Leaf/Mango/Mango_26.jpg,221,194,25931
165,Mango_18.jpg,Mango,/Fruits_Plant_Leaf/Mango/Mango_18.jpg,205,183,22709
166,Mango_36.jpg,Mango,/Fruits_Plant_Leaf/Mango/Mango_36.jpg,210,183,15693
167,Mango_20.jpg,Mango,/Fruits_Plant_Leaf/Mango/Mango_20.jpg,209,194,22398
168,Mango_5.jpg,Mango,/Fruits_Plant_Leaf/Mango/Mango_5.jpg,212,165,17099
169,Mango_29.jpg,Mango,/Fruits_Plant_Leaf/Mango/Mango_29.jpg,204,183,11193
170,Mango_11.jpg,Mango,/Fruits_Plant_Leaf/Mango/Mango_11.jpg,280,242,9927
171,Mango_48.jpg,Mango,/Fruits_Plant_Leaf/Mango/Mango_48.jpg,206,183,21468
172,Mango_23.jpg,Mango,/Fruits_Plant_Leaf/Mango/Mango_23.jpg,259,258,10323
173,Mango_43.jpg,Mango,/Fruits_Plant_Leaf/Mango/Mango_43.jpg,225,225,3300
174,Mango_49.jpg,Mango,/Fruits_Plant_Leaf/Mango/Mango_49.jpg,194,204,23930
175,Mango_14.jpg,Mango,/Fruits_Plant_Leaf/Mango/Mango_14.jpg,225,225,7622
176,Mango_41.jpg,Mango,/Fruits_Plant_Leaf/Mango/Mango_41.jpg,211,183,13309
177,Mango_40.jpg,Mango,/Fruits_Plant_Leaf/Mango/Mango_40.jpg,237,184,24785
178,Mango_44.jpg,Mango,/Fruits_Plant_Leaf/Mango/Mango_44.jpg,270,275,9171
179,Mango_3.jpg,Mango,/Fruits_Plant_Leaf/Mango/Mango_3.jpg,221,207,9454
180,Mango_12.jpg,Mango,/Fruits_Plant_Leaf/Mango/Mango_12.jpg,222,194,21363
181,Mango_37.jpg,Mango,/Fruits_Plant_Leaf/Mango/Mango_37.jpg,218,183,17441
182,Mango_35.jpg,Mango,/Fruits_Plant_Leaf/Mango/Mango_35.jpg,196,202,29534
183,Mango_45.jpg,Mango,/Fruits_Plant_Leaf/Mango/Mango_45.jpg,226,194,19586
184,Mango_52.jpg,Mango,/Fruits_Plant_Leaf/Mango/Mango_52.jpg,194,203,18817
185,Mango_46.jpg,Mango,/Fruits_Plant_Leaf/Mango/Mango_46.jpg,214,208,15035
186,Mango_33.jpg,Mango,/Fruits_Plant_Leaf/Mango/Mango_33.jpg,225,225,16503
187,Mango_38.jpg,Mango,/Fruits_Plant_Leaf/Mango/Mango_38.jpg,190,181,13938
188,Mango_15.jpg,Mango,/Fruits_Plant_Leaf/Mango/Mango_15.jpg,279,263,15226
189,Mango_27.jpg,Mango,/Fruits_Plant_Leaf/Mango/Mango_27.jpg,225,225,6161
190,Mango_17.jpg,Mango,/Fruits_Plant_Leaf/Mango/Mango_17.jpg,190,173,28032
191,Mango_47.jpg,Mango,/Fruits_Plant_Leaf/Mango/Mango_47.jpg,194,194,20723
192,Mango_2.jpg,Mango,/Fruits_Plant_Leaf/Mango/Mango_2.jpg,209,190,22902
193,Orange_12.jpg,Orange,/Fruits_Plant_Leaf/Orange/Orange_12.jpg,217,205,10397
194,Orange_6.jpg,Orange,/Fruits_Plant_Leaf/Orange/Orange_6.jpg,206,183,23886
195,Orange_8.jpg,Orange,/Fruits_Plant_Leaf/Orange/Orange_8.jpg,222,227,8996
196,Orange_20.jpg,Orange,/Fruits_Plant_Leaf/Orange/Orange_20.jpg,236,219,12008
197,Orange_21.jpg,Orange,/Fruits_Plant_Leaf/Orange/Orange_21.jpg,266,241,11397
198,Orange_16.jpg,Orange,/Fruits_Plant_Leaf/Orange/Orange_16.jpg,225,225,6213
199,Orange_10.jpg,Orange,/Fruits_Plant_Leaf/Orange/Orange_10.jpg,193,122,10820
200,Orange_18.jpg,Orange,/Fruits_Plant_Leaf/Orange/Orange_18.jpg,196,224,15685
201,Orange_9.jpg,Orange,/Fruits_Plant_Leaf/Orange/Orange_9.jpg,183,182,13684
202,Orange_5.jpg,Orange,/Fruits_Plant_Leaf/Orange/Orange_5.jpg,225,225,10843
203,Orange_14.jpg,Orange,/Fruits_Plant_Leaf/Orange/Orange_14.jpg,225,225,4879
204,Orange_2.jpg,Orange,/Fruits_Plant_Leaf/Orange/Orange_2.jpg,201,202,20974
205,Orange_11.jpg,Orange,/Fruits_Plant_Leaf/Orange/Orange_11.jpg,335,303,24075
206,Orange_17.jpg,Orange,/Fruits_Plant_Leaf/Orange/Orange_17.jpg,195,183,14596
207,Orange_7.jpg,Orange,/Fruits_Plant_Leaf/Orange/Orange_7.jpg,202,163,13073
208,Orange_4.jpg,Orange,/Fruits_Plant_Leaf/Orange/Orange_4.jpg,201,182,16755
209,Orange_3.jpg,Orange,/Fruits_Plant_Leaf/Orange/Orange_3.jpg,194,198,14547
210,Orange_15.jpg,Orange,/Fruits_Plant_Leaf/Orange/Orange_15.jpg,225,225,8775
211,Orange_1.jpg,Orange,/Fruits_Plant_Leaf/Orange/Orange_1.jpg,206,183,6083
212,Orange_19.jpg,Orange,/Fruits_Plant_Leaf/Orange/Orange_19.jpg,215,194,18664
213,Orange_13.jpg,Orange,/Fruits_Plant_Leaf/Orange/Orange_13.jpg,225,225,4746
214,Papaya_1.jpg,Papaya,/Fruits_Plant_Leaf/Papaya/Papaya_1.jpg,168,200,19470
215,Papaya_28.jpg,Papaya,/Fruits_Plant_Leaf/Papaya/Papaya_28.jpg,201,214,17966
216,Papaya_3.jpg,Papaya,/Fruits_Plant_Leaf/Papaya/Papaya_3.jpg,225,225,9730
217,Papaya_23.jpg,Papaya,/Fruits_Plant_Leaf/Papaya/Papaya_23.jpg,183,174,17093
218,Papaya_16.jpg,Papaya,/Fruits_Plant_Leaf/Papaya/Papaya_16.jpg,213,194,23808
219,Papaya_6.jpg,Papaya,/Fruits_Plant_Leaf/Papaya/Papaya_6.jpg,250,231,16160
220,Papaya_7.jpg,Papaya,/Fruits_Plant_Leaf/Papaya/Papaya_7.jpg,265,247,12375
221,Papaya_25.jpg,Papaya,/Fruits_Plant_Leaf/Papaya/Papaya_25.jpg,168,221,15851
222,Papaya_15.jpg,Papaya,/Fruits_Plant_Leaf/Papaya/Papaya_15.jpg,216,222,26302
223,Papaya_14.jpg,Papaya,/Fruits_Plant_Leaf/Papaya/Papaya_14.jpg,209,183,22600
224,Papaya_13.jpg,Papaya,/Fruits_Plant_Leaf/Papaya/Papaya_13.jpg,225,225,7247
225,Papaya_5.jpg,Papaya,/Fruits_Plant_Leaf/Papaya/Papaya_5.jpg,226,194,29455
226,Papaya_20.jpg,Papaya,/Fruits_Plant_Leaf/Papaya/Papaya_20.jpg,222,190,24485
227,Papaya_11.jpg,Papaya,/Fruits_Plant_Leaf/Papaya/Papaya_11.jpg,197,150,15710
228,Papaya_24.jpg,Papaya,/Fruits_Plant_Leaf/Papaya/Papaya_24.jpg,168,169,21088
229,Papaya_22.jpg,Papaya,/Fruits_Plant_Leaf/Papaya/Papaya_22.jpg,225,225,15330
230,Papaya_27.jpg,Papaya,/Fruits_Plant_Leaf/Papaya/Papaya_27.jpg,208,194,25089
231,Papaya_18.jpg,Papaya,/Fruits_Plant_Leaf/Papaya/Papaya_18.jpg,187,183,10631
232,Papaya_29.jpg,Papaya,/Fruits_Plant_Leaf/Papaya/Papaya_29.jpg,171,202,22491
233,Papaya_26.jpg,Papaya,/Fruits_Plant_Leaf/Papaya/Papaya_26.jpg,225,225,6326
234,Papaya_21.jpg,Papaya,/Fruits_Plant_Leaf/Papaya/Papaya_21.jpg,168,201,18987
235,Papaya_10.jpg,Papaya,/Fruits_Plant_Leaf/Papaya/Papaya_10.jpg,229,220,7315
236,Papaya_8.jpg,Papaya,/Fruits_Plant_Leaf/Papaya/Papaya_8.jpg,188,183,26943
237,Papaya_12.jpg,Papaya,/Fruits_Plant_Leaf/Papaya/Papaya_12.jpg,196,163,22205
238,Papaya_2.jpg,Papaya,/Fruits_Plant_Leaf/Papaya/Papaya_2.jpg,209,183,21114
239,Papaya_17.jpg,Papaya,/Fruits_Plant_Leaf/Papaya/Papaya_17.jpg,222,183,22653
240,Papaya_4.jpg,Papaya,/Fruits_Plant_Leaf/Papaya/Papaya_4.jpg,225,225,13615
241,Papaya_9.jpg,Papaya,/Fruits_Plant_Leaf/Papaya/Papaya_9.jpg,225,225,10579
242,Papaya_19.jpg,Papaya,/Fruits_Plant_Leaf/Papaya/Papaya_19.jpg,225,224,7830
243,Pineapple_19.jpg,Pineapple,/Fruits_Plant_Leaf/Pineapple/Pineapple_19.jpg,209,194,28986
244,Pineapple_22.jpg,Pineapple,/Fruits_Plant_Leaf/Pineapple/Pineapple_22.jpg,225,225,13840
245,Pineapple_14.jpg,Pineapple,/Fruits_Plant_Leaf/Pineapple/Pineapple_14.jpg,188,179,19656
246,Pineapple_21.jpg,Pineapple,/Fruits_Plant_Leaf/Pineapple/Pineapple_21.jpg,210,195,18774
247,Pineapple_25.jpg,Pineapple,/Fruits_Plant_Leaf/Pineapple/Pineapple_25.jpg,202,179,27556
248,Pineapple_12.jpg,Pineapple,/Fruits_Plant_Leaf/Pineapple/Pineapple_12.jpg,194,200,20013
249,Pineapple_7.jpg,Pineapple,/Fruits_Plant_Leaf/Pineapple/Pineapple_7.jpg,213,181,27205
250,Pineapple_23.jpg,Pineapple,/Fruits_Plant_Leaf/Pineapple/Pineapple_23.jpg,209,182,23847
251,Pineapple_3.jpg,Pineapple,/Fruits_Plant_Leaf/Pineapple/Pineapple_3.jpg,226,194,11761
252,Pineapple_15.jpg,Pineapple,/Fruits_Plant_Leaf/Pineapple/Pineapple_15.jpg,201,202,18899
253,Pineapple_11.jpg,Pineapple,/Fruits_Plant_Leaf/Pineapple/Pineapple_11.jpg,229,194,18184
254,Pineapple_10.jpg,Pineapple,/Fruits_Plant_Leaf/Pineapple/Pineapple_10.jpg,178,168,19914
255,Pineapple_18.jpg,Pineapple,/Fruits_Plant_Leaf/Pineapple/Pineapple_18.jpg,253,223,19210
256,Pineapple_13.jpg,Pineapple,/Fruits_Plant_Leaf/Pineapple/Pineapple_13.jpg,200,163,18404
257,Pineapple_6.jpg,Pineapple,/Fruits_Plant_Leaf/Pineapple/Pineapple_6.jpg,215,234,14030
258,Pineapple_5.jpg,Pineapple,/Fruits_Plant_Leaf/Pineapple/Pineapple_5.jpg,225,225,11453
259,Pineapple_17.jpg,Pineapple,/Fruits_Plant_Leaf/Pineapple/Pineapple_17.jpg,207,212,15666
260,Pineapple_16.jpg,Pineapple,/Fruits_Plant_Leaf/Pineapple/Pineapple_16.jpg,206,181,19064
